x,z,erosion,U,βz,h_wb,slope
0.0,2000.0,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
5.0,1999.6045454545454,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
10.0,1999.209090909091,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
15.0,1998.8136363636363,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
20.0,1998.418181818182,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
25.0,1998.0227272727273,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
30.0,1997.6272727272728,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
35.0,1997.2318181818182,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
40.0,1996.8363636363636,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
45.0,1996.4409090909091,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
50.0,1996.0454545454545,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
55.0,1995.65,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
60.0,1995.2545454545455,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
65.0,1994.8590909090908,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
70.0,1994.4636363636364,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
75.0,1994.0681818181818,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
80.0,1993.6727272727273,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
85.0,1993.2772727272727,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
90.0,1992.8818181818183,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
95.0,1992.4863636363636,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
100.0,1992.090909090909,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
105.0,1991.6954545454546,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
110.0,1991.3,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
115.0,1990.9045454545455,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
120.0,1990.509090909091,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
125.0,1990.1136363636363,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
130.0,1989.7181818181818,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
135.0,1989.3227272727272,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
140.0,1988.9272727272728,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
145.0,1988.5318181818182,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
150.0,1988.1363636363637,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
155.0,1987.740909090909,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
160.0,1987.3454545454545,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
165.0,1986.95,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
